Time,Humi,Irrad,Pres,Temp,WiDi,WiSp,Load_covered,Load_bought,Load_total,Generation_sold,Generation_used,Generation_total,Has_NaNs
2021-09-06 23:00:00+00:00,95.66666666666667,0.0,96212.66666666667,16.706666666666667,143.0,4.733333333333333,0.0,19.65,19.65,0.0,0.0,0.0,False
2021-09-07 00:00:00+00:00,99.0,0.0,96103.66666666667,16.555,71.5,14.083333333333334,0.0,19.919999999999998,19.919999999999998,0.0,0.0,0.0,False
2021-09-07 01:00:00+00:00,100.0,0.0,95993.83333333333,16.343333333333334,86.33333333333333,17.866666666666664,0.0,19.59,19.59,0.0,0.0,0.0,False
2021-09-07 02:00:00+00:00,96.33333333333333,0.0,95952.66666666667,17.018333333333334,100.83333333333333,19.7,0.0,19.680833333333336,19.680833333333336,0.0,0.0,0.0,False
2021-09-07 03:00:00+00:00,99.33333333333333,0.0,95943.66666666667,16.855,109.33333333333333,16.466666666666665,0.0,20.995833333333334,20.995833333333334,0.0,0.0,0.0,False
2021-09-07 04:00:00+00:00,100.0,0.0,95962.33333333333,17.066666666666666,143.0,16.849999999999998,0.0,41.63583333333333,41.63583333333333,0.0,0.0,0.0,False
2021-09-07 05:00:00+00:00,100.0,0.0,95960.33333333333,17.328333333333333,139.5,13.366666666666667,0.0,43.169999999999995,43.169999999999995,0.0,0.0,0.0,False
2021-09-07 06:00:00+00:00,100.0,6.5,95984.0,17.28,138.83333333333334,14.550000000000002,0.0,52.675000000000004,52.675000000000004,0.0,0.0,0.0,False
2021-09-07 07:00:00+00:00,98.83333333333333,92.33333333333333,96029.16666666667,17.285,146.66666666666666,19.95,7.2775,55.55833333333334,62.83583333333333,0.0,7.2775,7.2775,False
2021-09-07 08:00:00+00:00,95.5,224.33333333333334,96056.0,17.82,143.5,16.933333333333334,21.981666666666666,49.14833333333333,71.13166666666667,0.12,21.981666666666666,22.10166666666667,False
2021-09-07 09:00:00+00:00,95.83333333333333,244.66666666666666,96083.83333333333,17.936666666666667,140.83333333333334,16.416666666666668,26.871666666666666,38.51833333333333,65.39,0.0,26.871666666666666,26.871666666666666,False
2021-09-07 10:00:00+00:00,97.83333333333333,224.66666666666666,96130.33333333333,18.045,156.5,19.099999999999998,24.66333333333333,47.9125,72.57583333333334,0.15,24.66333333333333,24.813333333333333,False
2021-09-07 11:00:00+00:00,89.66666666666667,758.0,96137.0,19.293333333333333,164.16666666666666,21.166666666666668,62.51583333333334,8.678333333333333,71.19416666666666,16.615,62.51583333333334,79.13083333333333,False
2021-09-07 12:00:00+00:00,80.5,829.3333333333334,96127.0,20.021666666666665,162.66666666666666,23.616666666666664,71.76833333333333,4.260833333333333,76.02916666666667,16.799166666666668,71.76833333333333,88.5675,False
2021-09-07 13:00:00+00:00,79.0,622.0,96152.0,20.26,163.5,18.55,47.455000000000005,16.440833333333334,63.895,14.0675,47.455000000000005,61.52333333333333,False
2021-09-07 14:00:00+00:00,77.16666666666667,677.1666666666666,96152.5,20.195,165.33333333333334,19.216666666666665,50.60833333333333,8.966666666666667,59.57583333333333,14.649166666666666,50.60833333333333,65.25833333333334,False
2021-09-07 15:00:00+00:00,79.0,520.8333333333334,96135.33333333333,19.94666666666667,163.5,17.5,36.729166666666664,3.9308333333333336,40.66166666666667,18.386666666666667,36.729166666666664,55.11416666666667,False
2021-09-07 16:00:00+00:00,80.0,342.0,96145.83333333333,19.69,165.33333333333334,18.466666666666665,29.84181818181818,9.384545454545455,39.22727272727273,3.9718181818181817,29.84181818181818,33.81363636363636,False
